16505_Data_Header_Begin
Frame 10:Slot E:Analyzer<E>:V30
Hex                                     
8
Frame 10:Slot E:Analyzer<E>:V32
Hex                                     
8
Frame 10:Slot E:Analyzer<E>:V33
Hex                                     
8
16505_Data_Header_End
1B 93 88 
1B 93 8A 
2B 93 8C 
0B 93 8E 
0B 93 90 
03 93 92 
03 93 94 
03 93 96 
03 93 98 
03 93 9A 
03 93 9C 
03 93 9E 
03 93 A0 
03 93 A2 
03 BA D8 
03 93 A6 
03 BA 98 
03 BA A0 
03 93 AC 
03 93 AE 
03 93 B0 
03 93 B2 
03 BB A0 
83 93 B6 
83 93 B8 
83 93 BA 
83 93 BC 
83 93 BE 
83 93 C0 
83 93 C2 
83 93 C4 
83 93 C6 
83 93 C8 
83 93 CA 
83 93 CC 
83 93 CE 
83 93 D0 
83 93 D2 
83 93 D4 
83 93 D6 
83 93 D8 
83 93 DA 
83 93 DC 
83 93 DE 
83 93 E0 
83 93 E2 
83 93 E4 
83 93 E6 
83 93 E8 
83 93 EA 
83 93 EC 
83 93 EE 
83 93 F0 
83 93 F2 
83 93 F4 
83 93 F6 
83 93 F8 
83 93 FA 
83 93 FC 
03 93 FE 
03 94 00 
03 94 02 
03 94 04 
03 94 06 
03 94 08 
03 94 0A 
03 94 0C 
03 94 0E 
03 94 10 
03 94 12 
03 94 14 
03 94 16 
03 94 18 
03 94 1A 
03 94 1C 
03 94 1E 
03 94 20 
03 94 22 
03 94 24 
03 94 26 
03 94 28 
03 94 2A 
03 94 2C 
03 94 2E 
03 94 30 
03 94 32 
03 94 34 
03 94 36 
03 94 38 
03 94 3A 
03 94 3C 
03 94 3E 
03 94 40 
03 94 42 
03 94 44 
03 94 46 
03 94 48 
03 94 4A 
03 94 4C 
03 94 4E 
03 94 50 
03 94 52 
03 94 54 
03 94 56 
03 94 58 
03 94 5A 
03 94 5C 
03 94 5E 
03 94 60 
03 94 62 
03 94 64 
03 94 66 
03 94 68 
03 94 6A 
03 94 6C 
03 94 6E 
03 94 70 
03 94 72 
03 94 74 
03 94 76 
03 94 78 
03 94 7A 
03 94 7C 
03 94 7E 
03 94 80 
03 94 82 
03 94 84 
03 94 86 
03 94 88 
03 94 8A 
03 94 8C 
03 94 8E 
03 94 90 
03 94 92 
03 94 94 
03 94 96 
03 94 98 
03 94 9A 
03 94 9C 
03 94 9E 
03 94 A0 
03 94 A2 
03 94 A4 
03 94 A6 
03 94 A8 
03 94 AA 
03 94 AC 
03 94 AE 
03 94 B0 
03 94 B2 
03 94 B4 
03 94 B6 
03 94 B8 
03 94 BA 
03 94 BC 
03 94 BE 
03 94 C0 
03 94 C2 
03 94 C4 
03 94 C6 
03 94 C8 
03 94 CA 
03 94 CC 
03 94 CE 
03 94 D0 
03 94 D2 
03 94 D4 
03 94 D6 
03 94 D8 
03 94 DA 
03 94 DC 
03 94 DE 
03 94 E0 
03 94 E2 
03 94 E4 
03 94 E6 
03 94 E8 
03 94 EA 
03 94 EC 
