16505_Data_Header_Begin
Frame 10:Slot E:Analyzer<E>:V30
Hex                                     
8
Frame 10:Slot E:Analyzer<E>:V32
Hex                                     
8
Frame 10:Slot E:Analyzer<E>:V33
Hex                                     
8
16505_Data_Header_End
1B 80 00 
1B 80 02 
2B 80 04 
0B 80 06 
0B 80 08 
03 80 0A 
03 80 0C 
03 80 0E 
03 80 10 
03 80 12 
03 80 14 
03 80 16 
03 80 18 
03 80 1A 
03 BA D8 
03 80 1E 
03 BA 98 
03 BA A0 
03 80 24 
03 80 26 
03 80 28 
03 80 2A 
03 BB A0 
83 80 2E 
83 80 30 
83 80 32 
83 80 34 
83 80 36 
83 80 38 
83 80 3A 
83 80 3C 
83 80 3E 
83 80 40 
83 80 42 
83 80 44 
83 80 46 
83 80 48 
83 80 4A 
83 80 4C 
83 80 4E 
83 80 50 
83 80 52 
83 80 54 
83 80 56 
83 80 58 
83 80 5A 
83 80 5C 
83 80 5E 
83 80 60 
83 80 62 
83 80 64 
83 80 66 
83 80 68 
83 80 6A 
83 80 6C 
83 80 6E 
83 80 70 
83 80 72 
83 80 74 
03 80 76 
03 80 78 
03 80 7A 
03 80 7C 
03 80 7E 
03 80 80 
03 80 82 
03 80 84 
03 80 86 
03 80 88 
03 80 8A 
03 80 8C 
03 80 8E 
03 80 90 
03 80 92 
03 80 94 
03 80 96 
03 80 98 
03 80 9A 
03 80 9C 
03 80 9E 
03 80 A0 
03 80 A2 
03 80 A4 
03 80 A6 
03 80 A8 
03 80 AA 
03 80 AC 
03 80 AE 
03 80 B0 
03 80 B2 
03 80 B4 
03 80 B6 
03 80 B8 
03 80 BA 
03 80 BC 
03 80 BE 
03 80 C0 
03 80 C2 
03 80 C4 
03 80 C6 
03 80 C8 
03 80 CA 
03 80 CC 
03 80 CE 
03 80 D0 
03 80 D2 
03 80 D4 
03 80 D6 
03 80 D8 
03 80 DA 
03 80 DC 
03 80 DE 
03 80 E0 
03 80 E2 
03 80 E4 
03 80 E6 
03 80 E8 
03 80 EA 
03 80 EC 
03 80 EE 
03 80 F0 
03 80 F2 
03 80 F4 
03 80 F6 
03 80 F8 
03 80 FA 
03 80 FC 
03 80 FE 
03 81 00 
03 81 02 
03 81 04 
03 81 06 
03 81 08 
03 81 0A 
03 81 0C 
03 81 0E 
03 81 10 
03 81 12 
03 81 14 
03 81 16 
03 81 18 
03 81 1A 
03 81 1C 
03 81 1E 
03 81 20 
03 81 22 
03 81 24 
03 81 26 
03 81 28 
03 81 2A 
03 81 2C 
03 81 2E 
03 81 30 
03 81 32 
03 81 34 
03 81 36 
03 81 38 
03 81 3A 
03 81 3C 
03 81 3E 
03 81 40 
03 81 42 
03 81 44 
03 81 46 
03 81 48 
03 81 4A 
03 81 4C 
03 81 4E 
03 81 50 
03 81 52 
03 81 54 
03 81 56 
03 81 58 
03 81 5A 
03 81 5C 
03 81 5E 
03 81 60 
03 81 62 
03 81 64 
03 81 66 
03 81 68 
03 81 6A 
03 81 6C 
