16505_Data_Header_Begin
Frame 10:Slot E:Analyzer<E>:V30
Hex                                     
8
Frame 10:Slot E:Analyzer<E>:V32
Hex                                     
8
Frame 10:Slot E:Analyzer<E>:V33
Hex                                     
8
16505_Data_Header_End
1E 13 88 
1E 13 8A 
2E 13 8C 
0E 13 8E 
0E 13 90 
06 13 92 
06 13 94 
06 13 96 
06 13 98 
06 13 9A 
06 13 9C 
06 13 9E 
06 13 A0 
06 13 A2 
03 BA D8 
06 13 A6 
03 BA 98 
03 BA A0 
06 13 AC 
06 13 AE 
06 13 B0 
06 13 B2 
03 BB A0 
86 13 B6 
86 13 B8 
86 13 BA 
86 13 BC 
86 13 BE 
86 13 C0 
86 13 C2 
86 13 C4 
86 13 C6 
86 13 C8 
86 13 CA 
86 13 CC 
86 13 CE 
86 13 D0 
86 13 D2 
86 13 D4 
86 13 D6 
86 13 D8 
86 13 DA 
86 13 DC 
86 13 DE 
86 13 E0 
86 13 E2 
86 13 E4 
86 13 E6 
86 13 E8 
86 13 EA 
86 13 EC 
86 13 EE 
86 13 F0 
86 13 F2 
86 13 F4 
86 13 F6 
86 13 F8 
86 13 FA 
86 13 FC 
06 13 FE 
06 14 00 
06 14 02 
06 14 04 
06 14 06 
06 14 08 
06 14 0A 
06 14 0C 
06 14 0E 
06 14 10 
06 14 12 
06 14 14 
06 14 16 
06 14 18 
06 14 1A 
06 14 1C 
06 14 1E 
06 14 20 
06 14 22 
06 14 24 
06 14 26 
06 14 28 
06 14 2A 
06 14 2C 
06 14 2E 
06 14 30 
06 14 32 
06 14 34 
06 14 36 
06 14 38 
06 14 3A 
06 14 3C 
06 14 3E 
06 14 40 
06 14 42 
06 14 44 
06 14 46 
06 14 48 
06 14 4A 
06 14 4C 
06 14 4E 
06 14 50 
06 14 52 
06 14 54 
06 14 56 
06 14 58 
06 14 5A 
06 14 5C 
06 14 5E 
06 14 60 
06 14 62 
06 14 64 
06 14 66 
06 14 68 
06 14 6A 
06 14 6C 
06 14 6E 
06 14 70 
06 14 72 
06 14 74 
06 14 76 
06 14 78 
06 14 7A 
06 14 7C 
06 14 7E 
06 14 80 
06 14 82 
06 14 84 
06 14 86 
06 14 88 
06 14 8A 
06 14 8C 
06 14 8E 
06 14 90 
06 14 92 
06 14 94 
06 14 96 
06 14 98 
06 14 9A 
06 14 9C 
06 14 9E 
06 14 A0 
06 14 A2 
06 14 A4 
06 14 A6 
06 14 A8 
06 14 AA 
06 14 AC 
06 14 AE 
06 14 B0 
06 14 B2 
06 14 B4 
06 14 B6 
06 14 B8 
06 14 BA 
06 14 BC 
06 14 BE 
06 14 C0 
06 14 C2 
06 14 C4 
06 14 C6 
06 14 C8 
06 14 CA 
06 14 CC 
06 14 CE 
06 14 D0 
06 14 D2 
06 14 D4 
06 14 D6 
06 14 D8 
06 14 DA 
06 14 DC 
06 14 DE 
06 14 E0 
06 14 E2 
06 14 E4 
06 14 E6 
06 14 E8 
06 14 EA 
06 14 EC 
