16505_Data_Header_Begin
Frame 10:Slot E:Analyzer<E>:V30
Hex                                     
8
Frame 10:Slot E:Analyzer<E>:V32
Hex                                     
8
Frame 10:Slot E:Analyzer<E>:V33
Hex                                     
8
16505_Data_Header_End
1D C1 48 
1D C1 4A 
2D C1 4C 
0D C1 4E 
0D C1 50 
05 C1 52 
05 C1 54 
05 C1 56 
05 C1 58 
05 C1 5A 
05 C1 5C 
05 C1 5E 
05 C1 60 
05 C1 62 
03 BA D8 
05 C1 66 
03 BA 98 
03 BA A0 
05 C1 6C 
05 C1 6E 
05 C1 70 
05 C1 72 
03 BB E0 
85 C1 76 
85 C1 78 
85 C1 7A 
85 C1 7C 
85 C1 7E 
85 C1 80 
85 C1 82 
85 C1 84 
85 C1 86 
85 C1 88 
85 C1 8A 
85 C1 8C 
85 C1 8E 
85 C1 90 
85 C1 92 
85 C1 94 
85 C1 96 
85 C1 98 
85 C1 9A 
85 C1 9C 
85 C1 9E 
85 C1 A0 
85 C1 A2 
85 C1 A4 
85 C1 A6 
85 C1 A8 
85 C1 AA 
85 C1 AC 
85 C1 AE 
85 C1 B0 
85 C1 B2 
85 C1 B4 
85 C1 B6 
85 C1 B8 
85 C1 BA 
85 C1 BC 
05 C1 BE 
05 C1 C0 
05 C1 C2 
05 C1 C4 
05 C1 C6 
05 C1 C8 
05 C1 CA 
05 C1 CC 
05 C1 CE 
05 C1 D0 
05 C1 D2 
05 C1 D4 
05 C1 D6 
05 C1 D8 
05 C1 DA 
05 C1 DC 
05 C1 DE 
05 C1 E0 
05 C1 E2 
05 C1 E4 
05 C1 E6 
05 C1 E8 
05 C1 EA 
05 C1 EC 
05 C1 EE 
05 C1 F0 
05 C1 F2 
05 C1 F4 
05 C1 F6 
05 C1 F8 
05 C1 FA 
05 C1 FC 
05 C1 FE 
05 C2 00 
05 C2 02 
05 C2 04 
05 C2 06 
05 C2 08 
05 C2 0A 
05 C2 0C 
05 C2 0E 
05 C2 10 
05 C2 12 
05 C2 14 
05 C2 16 
05 C2 18 
05 C2 1A 
05 C2 1C 
05 C2 1E 
05 C2 20 
05 C2 22 
05 C2 24 
05 C2 26 
05 C2 28 
05 C2 2A 
05 C2 2C 
05 C2 2E 
05 C2 30 
05 C2 32 
05 C2 34 
05 C2 36 
05 C2 38 
05 C2 3A 
05 C2 3C 
05 C2 3E 
05 C2 40 
05 C2 42 
05 C2 44 
05 C2 46 
05 C2 48 
05 C2 4A 
05 C2 4C 
05 C2 4E 
05 C2 50 
05 C2 52 
05 C2 54 
05 C2 56 
05 C2 58 
05 C2 5A 
05 C2 5C 
05 C2 5E 
05 C2 60 
05 C2 62 
05 C2 64 
05 C2 66 
05 C2 68 
05 C2 6A 
05 C2 6C 
05 C2 6E 
05 C2 70 
05 C2 72 
05 C2 74 
05 C2 76 
05 C2 78 
05 C2 7A 
05 C2 7C 
05 C2 7E 
05 C2 80 
05 C2 82 
05 C2 84 
05 C2 86 
05 C2 88 
05 C2 8A 
