16505_Data_Header_Begin
Frame 10:Slot E:Analyzer<E>:V30
Hex                                     
8
Frame 10:Slot E:Analyzer<E>:V32
Hex                                     
8
Frame 10:Slot E:Analyzer<E>:V33
Hex                                     
8
16505_Data_Header_End
1E 61 A8 
1E 61 AA 
2E 61 AC 
0E 61 AE 
0E 61 B0 
06 61 B2 
06 61 B4 
06 61 B6 
06 61 B8 
06 61 BA 
06 61 BC 
06 61 BE 
06 61 C0 
06 61 C2 
03 BA D8 
06 61 C6 
03 BA 98 
03 BA A0 
06 61 CC 
06 61 CE 
06 61 D0 
06 61 D2 
03 BB A0 
86 61 D6 
86 61 D8 
86 61 DA 
86 61 DC 
86 61 DE 
86 61 E0 
86 61 E2 
86 61 E4 
86 61 E6 
86 61 E8 
86 61 EA 
86 61 EC 
86 61 EE 
86 61 F0 
86 61 F2 
86 61 F4 
86 61 F6 
86 61 F8 
86 61 FA 
86 61 FC 
86 61 FE 
86 62 00 
86 62 02 
86 62 04 
86 62 06 
86 62 08 
86 62 0A 
86 62 0C 
86 62 0E 
86 62 10 
86 62 12 
86 62 14 
86 62 16 
86 62 18 
86 62 1A 
86 62 1C 
06 62 1E 
06 62 20 
06 62 22 
06 62 24 
06 62 26 
06 62 28 
06 62 2A 
06 62 2C 
06 62 2E 
06 62 30 
06 62 32 
06 62 34 
06 62 36 
06 62 38 
06 62 3A 
06 62 3C 
06 62 3E 
06 62 40 
06 62 42 
06 62 44 
06 62 46 
06 62 48 
06 62 4A 
06 62 4C 
06 62 4E 
06 62 50 
06 62 52 
06 62 54 
06 62 56 
06 62 58 
06 62 5A 
06 62 5C 
06 62 5E 
06 62 60 
06 62 62 
06 62 64 
06 62 66 
06 62 68 
06 62 6A 
06 62 6C 
06 62 6E 
06 62 70 
06 62 72 
06 62 74 
06 62 76 
06 62 78 
06 62 7A 
06 62 7C 
06 62 7E 
06 62 80 
06 62 82 
06 62 84 
06 62 86 
06 62 88 
06 62 8A 
06 62 8C 
06 62 8E 
06 62 90 
06 62 92 
06 62 94 
06 62 96 
06 62 98 
06 62 9A 
06 62 9C 
06 62 9E 
06 62 A0 
06 62 A2 
06 62 A4 
06 62 A6 
06 62 A8 
06 62 AA 
06 62 AC 
06 62 AE 
06 62 B0 
06 62 B2 
06 62 B4 
06 62 B6 
06 62 B8 
06 62 BA 
06 62 BC 
06 62 BE 
06 62 C0 
06 62 C2 
06 62 C4 
06 62 C6 
06 62 C8 
06 62 CA 
06 62 CC 
06 62 CE 
06 62 D0 
06 62 D2 
06 62 D4 
06 62 D6 
06 62 D8 
06 62 DA 
06 62 DC 
06 62 DE 
06 62 E0 
06 62 E2 
06 62 E4 
06 62 E6 
06 62 E8 
06 62 EA 
06 62 EC 
06 62 EE 
06 62 F0 
06 62 F2 
06 62 F4 
06 62 F6 
06 62 F8 
06 62 FA 
06 62 FC 
06 62 FE 
06 63 00 
06 63 02 
06 63 04 
06 63 06 
06 63 08 
06 63 0A 
06 63 0C 
